1.3937 0.4082 0.25 O
1.0 0.2094 0.0 O
1.5 0.7094 0.25 O
1.0 0.7906 0.0 O
1.5 0.2906 0.25 O
1.2041 0.0 0.08715 O
1.7041 0.5 0.33715 O
1.7959 0.0 0.08715 O
1.2959 0.5 0.33715 O
1.7959 0.0 0.41285 O
1.2959 0.5 0.16285 O
1.2041 0.0 0.41285 O
1.7041 0.5 0.16285 O
1.2529 0.0 0.25 O
1.7529 0.5 0.0 O
1.7471 0.0 0.25 O
1.2471 0.5 0.0 O
1.3244 0.2018 0.1032 Si
1.8244 0.7018 0.3532 Si
1.6756 0.2018 0.1032 Si
1.1756 0.7018 0.3532 Si
1.3244 0.7982 0.1032 Si
1.8244 0.2982 0.3532 Si
1.6756 0.7982 0.1032 Si
1.1756 0.2982 0.3532 Si
1.6756 0.7982 0.3968 Si
1.1756 0.2982 0.1468 Si
1.3244 0.7982 0.3968 Si
1.8244 0.2982 0.1468 Si
1.6756 0.2018 0.3968 Si
1.1756 0.7018 0.1468 Si
1.3244 0.2018 0.3968 Si
1.8244 0.7018 0.1468 Si
1.0843 0.2004 0.0 Si
1.5843 0.7004 0.25 Si
1.9157 0.2004 0.0 Si
1.4157 0.7004 0.25 Si
1.0843 0.7996 0.0 Si
1.5843 0.2996 0.25 Si
1.9157 0.7996 0.0 Si
1.4157 0.2996 0.25 Si
1.2743 0.0 0.14675 Si
1.7743 0.5 0.39675 Si
1.7257 0.0 0.14675 Si
1.2257 0.5 0.39675 Si
1.7257 0.0 0.35325 Si
1.2257 0.5 0.10325 Si
1.2743 0.0 0.35325 Si
1.7743 0.5 0.10325 Si
1.1553 0.0 0.0 Si
1.6553 0.5 0.25 Si
1.8447 0.0 0.0 Si
1.3447 0.5 0.25 Si
1.3201 0.0918 0.62505 O
1.8201 0.5918 0.87505 O
1.6799 0.0918 0.62505 O
1.1799 0.5918 0.87505 O
1.3201 0.9082 0.62505 O
1.8201 0.4082 0.87505 O
1.6799 0.9082 0.62505 O
1.1799 0.4082 0.87505 O
1.6799 0.9082 0.87495 O
1.1799 0.4082 0.62495 O
1.3201 0.9082 0.87495 O
1.8201 0.4082 0.62495 O
1.6799 0.0918 0.87495 O
1.1799 0.5918 0.62495 O
1.3201 0.0918 0.87495 O
1.8201 0.5918 0.62495 O
1.3848 0.2493 0.66285 O
1.8848 0.7493 0.91285 O
1.6152 0.2493 0.66285 O
1.1152 0.7493 0.91285 O
1.3848 0.7507 0.66285 O
1.8848 0.2507 0.91285 O
1.6152 0.7507 0.66285 O
1.1152 0.2507 0.91285 O
1.6152 0.7507 0.83715 O
1.1152 0.2507 0.58715 O
1.3848 0.7507 0.83715 O
1.8848 0.2507 0.58715 O
1.6152 0.2493 0.83715 O
1.1152 0.7493 0.58715 O
1.3848 0.2493 0.83715 O
1.8848 0.7493 0.58715 O
1.3429 0.2162 0.5 O
1.8429 0.7162 0.75 O
1.6571 0.2162 0.5 O
1.1571 0.7162 0.75 O
1.3429 0.7838 0.5 O
1.8429 0.2838 0.75 O
1.6571 0.7838 0.5 O
1.1571 0.2838 0.75 O
1.25 0.25 0.625 O
1.75 0.75 0.875 O
1.75 0.25 0.625 O
1.25 0.75 0.875 O
1.25 0.75 0.625 O
1.75 0.25 0.875 O
1.75 0.75 0.625 O
1.25 0.25 0.875 O
1.1063 0.0918 0.5 O
1.6063 0.5918 0.75 O
1.8937 0.0918 0.5 O
1.3937 0.5918 0.75 O
1.1063 0.9082 0.5 O
1.6063 0.4082 0.75 O
1.8937 0.9082 0.5 O
