CN,Elmt,Label,x,y,z,xor,yor,zor,d,[A]
,Si,T1,0.0003,0.2267,1.8949,3.09807,-0.00355,27.98199,4.38695,
,Si,T1,0.559733,0.666367,1.561567,5.28539,-6.62886,23.05966,4.38555,
,Si,T1,0.2264,0.2267,1.8949,1.55211,-2.68123,27.98199,3.11214,
,Si,T1,0.106933,0.439967,1.771767,5.28539,-1.2664,26.16368,3.09192,
,Si,T1,0.106633,0.440267,1.561567,5.29154,-1.26285,23.05966,4.38555,
,Si,T1,0.560033,0.666967,1.771767,5.29154,-6.63242,26.16368,3.10422,
,Si,T1,0.333033,0.439967,1.771767,3.73943,-3.94408,26.16368,0,
,Si,T1,0.333033,0.439967,1.771767,3.73943,-3.94408,26.16368,0,
,Si,T1,0.0003,0.2267,1.8949,3.09807,-0.00355,27.98199,4.38695,
,Si,T1,0.559733,0.666367,1.561567,5.28539,-6.62886,23.05966,4.38555,
,Si,T1,0.2264,0.2267,1.8949,1.55211,-2.68123,27.98199,3.11214,
,Si,T1,0.106633,0.440267,1.561567,5.29154,-1.26285,23.05966,4.38555,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
,Si,T1,0.0003,0.2267,1.8949,3.09807,-0.00355,27.98199,4.38695,
,Si,T1,0.559733,0.666367,1.561567,5.28539,-6.62886,23.05966,4.38555,
,Si,T1,0.2264,0.2267,1.8949,1.55211,-2.68123,27.98199,3.11214,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
,Si,T1,0.106933,0.439967,1.771767,5.28539,-1.2664,26.16368,3.09192,
,Si,T1,0.106633,0.440267,1.561567,5.29154,-1.26285,23.05966,4.38555,
,Si,T1,0.560033,0.666967,1.771767,5.29154,-6.63242,26.16368,3.10422,
,Si,T1,0.333033,0.439967,1.771767,3.73943,-3.94408,26.16368,0,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
,Si,T1,0.0003,0.2267,1.8949,3.09807,-0.00355,27.98199,4.38695,
,Si,T1,0.559733,0.666367,1.561567,5.28539,-6.62886,23.05966,4.38555,
,Si,T1,0.2264,0.2267,1.8949,1.55211,-2.68123,27.98199,3.11214,
,Si,T1,0.106933,0.439967,1.771767,5.28539,-1.2664,26.16368,3.09192,
,Si,T1,0.106633,0.440267,1.561567,5.29154,-1.26285,23.05966,4.38555,
,Si,T1,0.560033,0.666967,1.771767,5.29154,-6.63242,26.16368,3.10422,
,Si,T1,0.333033,0.439967,1.771767,3.73943,-3.94408,26.16368,0,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
,Si,T1,0.0003,0.2267,1.8949,3.09807,-0.00355,27.98199,4.38695,
,Si,T1,0.559733,0.666367,1.561567,5.28539,-6.62886,23.05966,4.38555,
,Si,T1,0.2264,0.2267,1.8949,1.55211,-2.68123,27.98199,3.11214,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
,Si,T1,0.106933,0.439967,1.771767,5.28539,-1.2664,26.16368,3.09192,
,Si,T1,0.106633,0.440267,1.561567,5.29154,-1.26285,23.05966,4.38555,
,Si,T1,0.560033,0.666967,1.771767,5.29154,-6.63242,26.16368,3.10422,
,Si,T1,0.333633,0.440267,1.561567,3.73943,-3.95118,23.05966,3.10403,
