13.675 13.675 14.767 90.0 90.0 120.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
1.106633 0.666367 0.561567 Si
1.7732999999999999 0.7736 0.8949 Si
1.439967 0.106933 0.228233 Si
1.106633 0.440267 0.561567 Si
1.2267000000000001 0.0003 0.1051 Si
1.893367 0.333633 0.438433 Si
1.560033 0.666967 0.771767 Si
1.2267000000000001 0.2264 0.1051 Si
1.893367 0.559733 0.438433 Si
1.560033 0.893067 0.771767 Si
2.666967 0.106933 0.228233 Si
2.8930670000000003 0.560033 0.228233 Si
2.666967 0.560033 0.228233 Si
2.439967 0.333033 0.228233 Si
2.568667 0.13733299999999998 0.456033 O
2.235333 0.470667 0.789367 O
2.098 0.902 0.8773 O
2.764667 0.235333 0.210633 O
2.431333 0.568667 0.543967 O
2.098 0.196 0.8773 O
2.902 0.804 0.1227 O
2.431333 0.862667 0.543967 O
2.8040000000000003 0.902 0.8773 O
2.470667 0.235333 0.210633 O
2.137333 0.568667 0.543967 O
2.196 0.098 0.1227 O
2.862667 0.431333 0.456033 O
2.529333 0.764667 0.789367 O
2.235333 0.764667 0.789367 O
2.568667 0.431333 0.456033 O
2.764667 0.5293329999999999 0.210633 O
2.902 0.098 0.1227 O
2.643367 0.999933 0.500033 O
2.310033 0.333267 0.833367 O
2.0233 0.6899 0.8333 O
2.689967 0.023233 0.166633 O
2.356633 0.356567 0.499967 O
2.0233 0.3334 0.8333 O
2.689967 0.666733 0.166633 O
2.356633 6.7e-05 0.499967 O
2.3101 0.3334 0.8333 O
2.976767 0.666733 0.166633 O
2.643433 6.7e-05 0.499967 O
2.6898999999999997 0.6666 0.1667 O
2.356567 0.999933 0.500033 O
2.023233 0.333267 0.833367 O
2.6666 0.9767 0.8333 O
2.333267 0.310033 0.166633 O
2.999933 0.643367 0.499967 O
2.6666 0.6899 0.8333 O
2.333267 0.023233 0.166633 O
2.999933 0.356567 0.499967 O
2.3334 0.0233 0.1667 O
2.000067 0.356633 0.500033 O
2.666733 0.689967 0.833367 O
2.3334 0.3101 0.1667 O
2.000067 0.643433 0.500033 O
2.666733 0.976767 0.833367 O
2.643367 0.643433 0.500033 O
2.9767 0.3101 0.1667 O
2.9767 0.6666 0.1667 O
2.310033 0.976767 0.833367 O
2.7869669999999998 0.213133 0.464833 O
2.453633 0.546467 0.798167 O
2.8797 0.7595 0.8685 O
2.546367 0.092833 0.201833 O
2.213033 0.426167 0.5351670000000001 O
2.8797 0.1202 0.8685 O
2.546367 0.453533 0.201833 O
2.213033 0.786867 0.5351670000000001 O
2.2405 0.1203 0.8685 O
2.907167 0.453633 0.201833 O
2.573833 0.786967 0.5351670000000001 O
2.7595 0.8797 0.1315 O
2.426167 0.213033 0.464833 O
2.092833 0.546367 0.798167 O
